Date & Time,Demand,PV,Direct,PV->Storage,Storage->Load,Export,Import,Losses,End SoC,Solar Share (%),Solar Wasted (%)
2020-01-05,11727.8125,10490.0,4065.8125,6389.008609103557,6025.698745477121,35.178890896442304,1636.3012545228792,653.8082816445911,709.5015819818457,86.04768575109058,0.3353564432453985
2020-01-12,16136.25,11891.0,5391.75,6492.652932396367,6137.006620703119,6.597067603633441,4607.493379296881,665.1478936750941,400.0,71.4463188206871,0.05547950217503524
2020-01-19,16458.75,13634.0,5680.75,7945.17704882585,6823.339244805189,8.072951174150411,3954.660755194811,776.8121249445161,745.025679076145,75.97228978388509,0.0592119053406954
2020-01-26,15486.0,11634.0,5033.0,6517.393875543353,5790.769299616372,83.60612445664762,4662.230700383628,647.6886565042088,823.9615984989173,69.89389964882068,0.7186361050081452
2020-02-02,15743.25,16112.0,5960.25,10103.609635541174,8840.626326853277,48.14036445882648,942.3736731467242,996.6959758625986,1090.248931324217,94.01410970957888,0.2987857774256857
2020-02-09,16755.0,16466.0,6132.25,10220.647148623257,9069.342971337885,113.10285137674333,1553.4070286621159,1015.0738223411828,1226.4792862684053,90.72869574060212,0.6868872305158711
2020-02-16,15333.75,14902.0,5564.5,8662.87429188798,8580.653957766728,674.6257081120198,1188.596042233271,908.6996203896588,400.0,92.24849731974714,4.527081654221043
2020-02-23,16728.75,13582.0,6441.0,6958.911865515292,5708.905429580058,182.08813448470724,4578.844570419942,665.9176778403279,984.0887580949077,72.62888996237052,1.340657741751636
2020-03-01,15716.25,13077.0,6109.25,6943.757438817965,6803.164427210793,23.99256118203572,2803.8355727892067,724.3312658935232,400.350503808556,82.15964003633687,0.18347144744234703
2020-03-08,16091.25,18479.0,6376.25,10614.509470925283,8684.611423615792,1488.2405290747172,1030.3885763842072,1014.4744259581216,1315.7741251599255,93.59659084046169,8.053685421693366
2020-03-15,17846.37178030303,13253.0,6410.5,6172.953423517804,6424.437698492066,669.5465764821959,5011.434081810964,664.2898501856644,400.0,71.91903125462139,5.0520378516727975
2020-03-22,18604.5,19676.0,7980.5,11406.867711379116,9433.555850068195,288.6322886208844,1190.4441499318045,1095.6479539943252,1277.6639073165943,93.60131070476602,1.466925638447268
