Date & Time,Demand,PV,Direct,PV->Storage,Storage->Load,Export,Import,Losses,End SoC,Solar Share (%),Solar Wasted (%)
2020-01-05,11727.8125,10490.0,4065.812500000006,6394.687499999994,6030.253729000002,29.5,1631.746271,654.3460942855269,710.08768,86.08652490820438,0.2812202097235462
2020-01-12,16136.25,11891.0,5391.750000000004,6499.249999999996,6143.5,0.0,4601.0,665.8376768933447,400.0,71.48655976450542,0.0
2020-01-19,16458.75,13634.0,5680.75000000001,7953.24999999999,6830.025,0.0,3947.975,777.5880517435963,745.63695,76.0129110655427,0.0
2020-01-26,15486.0,11634.0,5033.000000000001,6522.999999999999,5796.3,78.0,4656.7,648.2755140278247,824.06143,69.92961384476301,0.6704486848891181
2020-02-02,15743.25,16112.0,5960.25,10112.25,8847.775,39.5,935.225,997.5260608541201,1091.0104,94.0595175710225,0.2451588877855015
2020-02-09,16755.0,16466.0,6132.25,10229.0,9077.475,104.75,1545.275,1015.9423453202817,1226.593,90.77723067740973,0.636159358678489
2020-02-16,15333.75,14902.0,5564.500000000005,8662.340291699995,8580.281262,675.159705,1188.968738,908.6520571955111,400.0,92.24606676122933,4.530665044960408
2020-02-23,16728.75,13582.0,6441.000000000008,6961.553619999992,5712.925,179.44638,4574.825,666.2706727953864,982.35795,72.65291788089372,1.3212073332351641
2020-03-01,15716.25,13077.0,6109.250000000007,6949.999999999993,6704.723258,17.75,2902.276742,719.3266793438471,508.30801,81.53327452795678,0.13573449567943718
2020-03-08,16091.25,18479.0,6376.25000000001,10403.29224999999,8790.963027,1699.457751,924.036973,1009.3882845694145,1111.249,94.25751900567083,9.196697608095675
2020-03-15,17846.37178030303,13253.0,6410.500000000009,6391.089424999991,6426.730489,451.410575,5009.1412976,675.6078932511397,400.0,71.93187863075008,3.4061010714555198
2020-03-22,18604.5,19676.0,7980.50000000001,11399.60947499999,9433.565322,295.890532,1190.434678,1095.2759976023556,1270.7682,93.6013616168132,1.5038144541573493
2020-03-29,18732.0,18002.0,8131.750000000012,9792.879300999988,9006.324573,77.370699,1593.9254270000001,989.713361124516,1067.6095,91.4908956491566,0.4297894622819687
2020-04-05,21568.5,19962.0,9577.750000000015,10384.249999999985,9791.65,0.0,2199.1,1062.5408126148561,597.66871,89.80411247884655,0.0
2020-04-12,19633.5,20432.0,8977.750000000007,10329.145076999992,8723.755569,1125.10492,1931.994431,1001.9478731821417,1201.1103,90.15970442865515,5.506582419733751
2020-04-19,20688.0,17370.0,8552.250000000005,8596.016765719995,7814.840089,221.73323,4320.909911,863.8438850635631,1118.4431,79.11393121133027,1.276529821531376
2020-04-26,21705.420454545456,20670.0,10001.17046000001,10545.80176199999,9368.546591,123.027778,2335.703409,1047.9443724942298,1247.7539,89.2390778218889,0.5951997000483793
2020-05-03,23371.5,21182.0,11072.750000000015,9949.616939999985,9148.95525,159.633057,3149.794751,1005.4718773399424,1042.9438,86.52292428812876,0.7536259890473044
2020-05-10,26055.0,21127.0,12374.25000000001,8752.74999999999,8106.275,0.0,5574.475,887.6513762155088,801.76738,78.60497025522936,0.0
2020-05-17,27687.0,18860.0,12467.000000000007,6392.999999999992,6049.025,0.0,9170.975,655.2748833297424,490.46749,66.87624155740964,0.0
2020-05-24,27012.0,21382.0,13410.250000000004,7971.749999999997,6778.625,0.0,6823.125,775.757053485444,907.83544,74.74039315859619,0.0
2020-05-31,27075.75,22393.0,13983.500000000005,8409.499999999995,7978.05,0.0,5114.2,863.1009006129842,476.18454,81.1115112231425,0.0
2020-06-07,29402.25,22469.0,15171.750000000005,7297.249999999995,6439.3,0.0,7791.2,722.7889823416369,611.34556,73.50134768597643,0.0
2020-06-14,30879.75,23137.0,15968.000000000005,7168.999999999995,6652.6,0.0,8259.15,727.7455569545871,400.0,73.2538313943604,0.0
2020-06-21,28734.75,23372.0,14676.000000000005,8695.999999999995,7684.325,0.0,6374.425,861.9148004771929,549.7602,77.81631996102281,0.0
2020-06-28,28723.5,23353.0,14616.000000000007,8736.999999999993,7889.675,0.0,6217.825,875.1266910956474,521.95851,78.3528295646422,0.0
2020-07-05,29748.0,23774.0,15202.500000000004,8571.499999999996,7719.925,0.0,6825.575,857.4515659851468,516.08194,77.05534825870649,0.0
2020-07-12,30723.0,23278.0,15497.500000000004,7780.499999999997,7033.8,0.0,8191.7,779.7458015487601,483.03614,73.33691371285357,0.0
2020-07-19,30484.5,22206.0,14704.000000000004,7501.999999999996,6669.575,0.0,9110.925,745.7522397975521,569.7089,70.11292624120456,0.0
2020-07-26,29504.25,21464.0,14114.750000000004,7349.249999999996,6775.325,0.0,8614.175,743.6339010957034,400.0,70.80361303879951,0.0
2020-08-02,29473.5,20879.0,13871.500000000002,7007.499999999998,6171.825,0.0,9430.175,693.4515622339277,542.22344,68.00456342137852,0.0
2020-08-09,29448.75,21974.0,14006.000000000002,7967.999999999999,7246.225,0.0,8196.525,800.8582938180449,463.14014,72.16681522984847,0.0
