Date & Time,Demand,PV,Direct,PV->Storage,Storage->Load,Export,Import,Losses,End SoC,Solar Share (%),Solar Wasted (%)
2020-01-05,11727.8125,10490.0,4065.8125,1054.0925533894595,0.0,5370.09494661054,7662.0,54.092553389459795,2000.0,34.668123317967435,51.192516173599046
2020-01-12,16136.25,11891.0,5391.75,0.0,0.0,6499.25,10744.5,0.0,2000.0,33.413897280966765,54.65688335716088
2020-01-19,16458.75,13634.0,5680.75,0.0,0.0,7953.25,10778.0,0.0,2000.0,34.51507556770715,58.333944550388736
2020-01-26,15486.0,11634.0,5033.0,0.0,0.0,6601.0,10453.0,0.0,2000.0,32.50032287227173,56.73886883273165
2020-02-02,15743.25,16112.0,5960.25,0.0,0.0,10151.75,9783.0,0.0,2000.0,37.859082463913104,63.00738579940417
2020-02-09,16755.0,16466.0,6132.25,0.0,0.0,10333.75,10622.75,0.0,2000.0,36.59952253058788,62.75810761569294
2020-02-16,15333.75,14902.0,5564.5,0.0,0.0,9337.5,9769.25,0.0,2000.0,36.28923127088938,62.65937458059321
2020-02-23,16728.75,13582.0,6441.0,0.0,0.0,7141.0,10287.75,0.0,2000.0,38.502577897332436,52.57694006773671
2020-03-01,15716.25,13077.0,6109.25,0.0,0.0,6967.75,9607.0,0.0,2000.0,38.87218643124155,53.282480691290054
2020-03-08,16091.25,18479.0,6376.25,0.0,0.0,12102.75,9715.0,0.0,2000.0,39.62557290452886,65.49461550949727
2020-03-15,17846.37178030303,13253.0,6410.5,0.0,0.0,6842.5,11435.87178030303,0.0,2000.0,35.92046651787924,51.62981966347242
2020-03-22,18604.5,19676.0,7980.5,0.0,0.0,11695.5,10624.0,0.0,2000.0,42.89553602623021,59.44043504777394
2020-03-29,18732.0,18002.0,8131.75,0.0,0.0,9870.25,10600.25,0.0,2000.0,43.411007900918214,54.828630152205314
2020-04-05,21568.5,19962.0,9577.75,0.0,0.0,10384.25,11990.75,0.0,2000.0,44.40619421842038,52.02008816751828
2020-04-12,19633.5,20432.0,8977.75,0.0,0.0,11454.25,10655.75,0.0,2000.0,45.72669162400998,56.06034651527016
2020-04-19,20688.0,17370.0,8552.25,0.0,0.0,8817.75,12135.75,0.0,2000.0,41.33918213457076,50.76424870466321
2020-04-26,21705.420454545456,20670.0,10001.170454545454,0.0,0.0,10668.829545454546,11704.25,0.0,2000.0,46.07683355173639,51.61504376127018
2020-05-03,23371.5,21182.0,11072.75,0.0,0.0,10109.25,12298.75,0.0,2000.0,47.37714738035642,47.725663299027474
2020-05-10,26055.0,21127.0,12374.25,1351.0,1237.5,7401.75,12443.25,136.26839915321244,1977.2316008467878,52.24237190558434,35.034552941733324
2020-05-17,27687.0,18860.0,12467.0,2363.898336709425,3085.4767799193046,4029.101663290575,12134.523220080695,288.20878383352743,967.4443738033807,56.17248809881642,21.363211364213015
2020-05-24,27012.0,21382.0,13410.25,1112.8536409786914,22.0,6858.896359021309,13579.75,58.29801478207218,2000.0,49.726973197097585,32.07789897587367
2020-05-31,27075.75,22393.0,13983.5,0.0,0.0,8409.5,13092.25,0.0,2000.0,51.6458454521112,37.55414638503104
2020-06-07,29402.25,22469.0,15171.75,3690.731186567992,3901.301344792015,3606.518813432008,10329.198655207985,400.42750355831686,1389.0023382176605,64.86935981019145,16.051087335582395
2020-06-14,30879.75,23137.0,15968.0,6246.6314028905135,6560.218262601461,922.3685971094865,8351.531737398538,675.4154785067126,400.0,72.95466531497652,3.9865522630828822
2020-06-21,28734.75,23372.0,14676.0,5368.575836377427,3864.5,3327.4241636225734,10194.25,484.5382786621617,1419.5375577152647,64.52292085367021,14.23679686643237
2020-06-28,28723.5,23353.0,14616.0,5119.256549884192,4907.349147635457,3617.743450115808,9200.150852364544,528.1544083425534,1103.2905516214478,67.96995194748362,15.491557616219792
2020-07-05,29748.0,23774.0,15202.5,8028.631417443758,7782.843275699383,542.8685825562416,6762.656724300617,832.9967509238099,516.0819424420142,77.2668524798285,2.2834549615388307
2020-07-12,30723.0,23278.0,15497.5,7780.5,6662.3,0.0,8563.199999999999,759.6504179645759,874.6315244774394,72.12772190215799,0.0
2020-07-19,30484.5,22206.0,14704.0,7502.0,6232.325000000001,0.0,9548.175,722.100270828011,1422.2062536494286,68.6785907592383,0.0
2020-07-26,29504.25,21464.0,14114.75,7349.25,7226.925,0.0,8162.575,768.0620982063838,776.4691554430458,72.33423998237542,0.0
2020-08-02,29473.5,20879.0,13871.5,7007.5,5990.975,0.0,9611.025,683.6689239534439,1109.3252314896022,67.39096137208,0.0
2020-08-09,29448.75,21974.0,14006.0,7507.381398336034,6800.418258502432,460.6186016639656,8642.331741497568,753.1060413582278,1063.1823299649786,70.65297596163651,2.0961982418493017
2020-08-16,29611.5,21934.0,13923.75,8010.25,6461.2249999999985,0.0,9226.525000000001,760.5637700646847,1851.6435599002946,68.84141296455768,0.0
2020-08-23,28598.25,21936.0,13672.0,5799.76247031932,5079.042946406565,2464.23752968068,9847.207053593434,572.3630838130491,2000.0,65.5670991980508,11.233759708609956
2020-08-30,30622.5,21121.0,14196.0,5566.025999008397,6527.316675988379,1358.9740009916034,9899.183324011621,638.7093230200181,400.0,67.67349718667117,6.434231338438536
2020-09-06,29903.25,19451.0,13436.0,6015.0,5068.65,0.0,11398.6,582.8461829636453,763.5038170363553,61.88173526288949,0.0
2020-09-13,28791.0,17589.0,12237.0,5352.0,4787.1,0.0,11766.9,533.5934511643335,794.810365872022,59.129936438470345,0.0
2020-09-20,27331.5,17459.0,11660.25,5412.631406699024,3861.75,386.11859330097536,11809.5,486.6503107117488,1859.0414618592981,56.79161407167554,2.2115733621683678
2020-09-27,24909.75,18129.0,10748.75,1143.5833453907778,895.5,6236.666654609222,13265.5,107.1248072500762,1999.9999999999995,46.745752165316794,34.40160325781467
2020-10-04,22881.75,18212.0,9833.0,4.547473508864641e-13,0.0,8379.0,13048.75,2.3336134267759113e-14,2000.0,42.97311175937155,46.00812650999341
2020-10-11,21064.5,18209.0,8879.0,0.0,0.0,9330.0,12185.5,0.0,2000.0,42.15148709914786,51.23839859410182
2020-10-18,19852.5,17354.0,8048.0,0.0,0.0,9306.0,11804.5,0.0,2000.0,40.538974940183856,53.624524605278324
2020-10-25,18765.0,16772.0,7465.0,0.0,0.0,9307.0,11300.0,0.0,2000.0,39.781508126831866,55.491295015502025
2020-11-01,18310.5,15117.0,6915.0,0.0,0.0,8202.0,11395.5,0.0,2000.0,37.7652166789547,54.25679698352848
2020-11-08,16899.9375,13363.0,6279.1875,0.0,0.0,7083.8125,10620.75,0.0,2000.0,37.1550930291902,53.01064506473097
2020-11-15,18807.0,11548.0,6940.5,0.0,0.0,4607.5,11866.5,0.0,2000.0,36.90381241027277,39.89868375476273
