Capacity (MWh),Grid Imports (MWh),CO2 Emissions (tCO2),Solar Share (%),Solar Wasted (%),Solar Direct to Load (MWh),Solar to Storage (MWh),Storage to Load (MWh),Storage Losses (MWh),Solar Exported (MWh),Start Storage (MWh),End Storage (MWh),Delta SoC (MWh),Energy Balance Check (MWh)
500.0,520950.48877337045,270164.9234778699,55.24359380253245,28.709382012012732,507101.42045454547,150860.3672358056,135916.6330069326,15093.734228872996,264967.212309649,250.0,100.0,-150.0,0.0
1000.0,395163.16796321416,204931.61890572283,66.05035672145478,13.575860106998206,507101.42045454547,290532.02961853705,261703.9538170889,29065.380664797383,125295.54992691748,500.0,262.6951366507835,-237.30486334921648,2.3283064365386963e-10
1500.0,308493.9714980031,159984.9736188644,73.49636521055054,3.147838902158398,507101.42045454547,386775.2614441531,348373.1502822999,38692.42404406384,29052.318101301484,750.0,459.6871177893064,-290.3128822106936,0.0
2000.0,287219.387632603,148951.9744262679,75.32412799738258,0.6106280444968712,507101.42045454547,410191.91624066,369647.7341477,41044.8861024879,5635.663304794529,1000.0,499.2959904720986,-500.7040095279014,0.0
