Capacity (MWh),Grid Imports (MWh),CO2 Emissions (tCO2),Solar Share (%),Solar Wasted (%),Solar Direct to Load (MWh),Solar to Storage (MWh),Storage to Load (MWh),Storage Losses (MWh),Solar Exported (MWh),Start Storage (MWh),End Storage (MWh),Delta SoC (MWh),Energy Balance Check (MWh)
500.0,520946.9580946787,270163.09246790037,55.2438971336418,28.708956954795536,507101.42045454547,150864.2902121297,135920.1636856243,15094.126526505406,264963.2893333249,250.0,100.0,-150.0,0.0
1000.0,395147.5901054136,204923.54022866747,66.05169506155893,13.57534227389711,507101.42045454547,290536.80885039875,261719.53167488947,29066.46856531915,125290.77069505585,500.0,250.80861019005926,-249.19138980994074,-2.3283064365386963e-10
1500.0,308367.94417253573,159919.61584787702,73.50719259298351,3.1395218035027006,507101.42045454547,386852.02235960506,348499.17760776734,38703.18030091484,28975.55718584944,750.0,399.6644509229733,-350.3355490770267,0.0
2000.0,286879.00345213077,148775.451190275,75.35337141489099,0.5696072253020491,507101.42045454547,410570.5092770466,369988.1183281722,41082.726497951415,5257.070268407949,1000.0,499.6644509229732,-500.3355490770268,0.0
