Date & Time,MW
"Saturday, January 09, 2021",9
"Saturday, January 09, 2021",60
"Saturday, January 09, 2021",60
"Saturday, January 09, 2021",160
"Saturday, January 09, 2021",160
"Saturday, January 09, 2021",224
"Saturday, January 09, 2021",145
"Saturday, January 09, 2021",125
"Saturday, January 09, 2021",80
"Saturday, January 09, 2021",30
"Saturday, January 09, 2021",0
"Saturday, January 09, 2021",0
"Saturday, January 09, 2021",0
"Saturday, January 09, 2021",0
"Saturday, January 09, 2021",0
"Saturday, January 09, 2021",0
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",7
"Sunday, January 10, 2021",139
"Sunday, January 10, 2021",139
"Sunday, January 10, 2021",139
"Sunday, January 10, 2021",139
"Sunday, January 10, 2021",202
"Sunday, January 10, 2021",194
"Sunday, January 10, 2021",185
"Sunday, January 10, 2021",177
"Sunday, January 10, 2021",12
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",0
"Sunday, January 10, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",103
"Monday, January 11, 2021",210
"Monday, January 11, 2021",210
"Monday, January 11, 2021",228
"Monday, January 11, 2021",229
"Monday, January 11, 2021",229
"Monday, January 11, 2021",229
"Monday, January 11, 2021",229
"Monday, January 11, 2021",90
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Monday, January 11, 2021",0
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",13
"Tuesday, January 12, 2021",140
"Tuesday, January 12, 2021",251
"Tuesday, January 12, 2021",257
"Tuesday, January 12, 2021",257
"Tuesday, January 12, 2021",241
"Tuesday, January 12, 2021",242
"Tuesday, January 12, 2021",247
"Tuesday, January 12, 2021",248
"Tuesday, January 12, 2021",139
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",0
"Tuesday, January 12, 2021",0
"Wednesday, January 13, 2021",0
"Wednesday, January 13, 2021",0
"Wednesday, January 13, 2021",0
"Wednesday, January 13, 2021",0
"Wednesday, January 13, 2021",0
"Wednesday, January 13, 2021",0
"Wednesday, January 13, 2021",0
"Wednesday, January 13, 2021",0
"Wednesday, January 13, 2021",40
"Wednesday, January 13, 2021",152
"Wednesday, January 13, 2021",268
"Wednesday, January 13, 2021",268
"Wednesday, January 13, 2021",268
"Wednesday, January 13, 2021",268
"Wednesday, January 13, 2021",144
"Wednesday, January 13, 2021",144
"Wednesday, January 13, 2021",58
"Wednesday, January 13, 2021",48
"Wednesday, January 13, 2021",48
"Wednesday, January 13, 2021",0
"Wednesday, January 13, 2021",0
"Wednesday, January 13, 2021",0
"Wednesday, January 13, 2021",0
"Wednesday, January 13, 2021",0
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",68
"Thursday, January 14, 2021",68
"Thursday, January 14, 2021",60
"Thursday, January 14, 2021",164
"Thursday, January 14, 2021",144
"Thursday, January 14, 2021",112
"Thursday, January 14, 2021",68
"Thursday, January 14, 2021",84
"Thursday, January 14, 2021",120
"Thursday, January 14, 2021",120
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",0
"Thursday, January 14, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",267
"Friday, January 15, 2021",24
"Friday, January 15, 2021",260
"Friday, January 15, 2021",260
"Friday, January 15, 2021",260
"Friday, January 15, 2021",260
"Friday, January 15, 2021",240
"Friday, January 15, 2021",136
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Friday, January 15, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",160
"Saturday, January 16, 2021",260
"Saturday, January 16, 2021",260
"Saturday, January 16, 2021",248
"Saturday, January 16, 2021",248
"Saturday, January 16, 2021",248
"Saturday, January 16, 2021",248
"Saturday, January 16, 2021",248
"Saturday, January 16, 2021",136
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Saturday, January 16, 2021",0
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",28
"Sunday, January 17, 2021",108
"Sunday, January 17, 2021",273
"Sunday, January 17, 2021",273
"Sunday, January 17, 2021",173
"Sunday, January 17, 2021",173
"Sunday, January 17, 2021",173
"Sunday, January 17, 2021",283
"Sunday, January 17, 2021",225
"Sunday, January 17, 2021",225
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",0
"Sunday, January 17, 2021",0
"Monday, January 18, 2021",0
"Monday, January 18, 2021",0
"Monday, January 18, 2021",0
"Monday, January 18, 2021",0
"Monday, January 18, 2021",0
"Monday, January 18, 2021",0
"Monday, January 18, 2021",0
"Monday, January 18, 2021",0
"Monday, January 18, 2021",46
"Monday, January 18, 2021",164
"Monday, January 18, 2021",253
"Monday, January 18, 2021",272
"Monday, January 18, 2021",272
"Monday, January 18, 2021",272
"Monday, January 18, 2021",272
"Monday, January 18, 2021",272
"Monday, January 18, 2021",198
"Monday, January 18, 2021",132
"Monday, January 18, 2021",0
"Monday, January 18, 2021",0
"Monday, January 18, 2021",0
"Monday, January 18, 2021",0
"Monday, January 18, 2021",0
"Monday, January 18, 2021",0
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",43
"Tuesday, January 19, 2021",183
"Tuesday, January 19, 2021",260
"Tuesday, January 19, 2021",272
"Tuesday, January 19, 2021",272
"Tuesday, January 19, 2021",272
"Tuesday, January 19, 2021",272
"Tuesday, January 19, 2021",272
"Tuesday, January 19, 2021",100
"Tuesday, January 19, 2021",45
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",0
"Tuesday, January 19, 2021",0
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",20
"Wednesday, January 20, 2021",50
"Wednesday, January 20, 2021",240
"Wednesday, January 20, 2021",240
