Date & Time,Supply, Demand,Mismatch,Daily Supply,Daily Demand ,Daily Mismatch
2021-03-22 20.00,0,121.5,-121.5,,,
2021-03-22 21.00,0,119.25,-119.25,,,
2021-03-22 22.00,0,116.25,-116.25,,,
2021-03-22 23.00,0,114,-114,,,
2021-03-23 00.00,0,111,-111,2530,2540.25,-10.25
2021-03-23 01.00,0,106.5,-106.5,,,
2021-03-23 02.00,0,107.25,-107.25,,,
2021-03-23 03.00,0,102,-102,,,
2021-03-23 04.00,0,101.25,-101.25,,,
2021-03-23 05.00,0,99.75,-99.75,,,
2021-03-23 06.00,0,93,-93,,,
2021-03-23 07.00,20,81,-61,,,
2021-03-23 08.00,100,88.5,11.5,,,
2021-03-23 09.00,280,96.75,183.25,,,
2021-03-23 10.00,280,102.75,177.25,,,
2021-03-23 11.00,280,106.5,173.5,,,
2021-03-23 12.00,280,108.75,171.25,,,
2021-03-23 13.00,280,107.25,172.75,,,
2021-03-23 14.00,286,108,178,,,
2021-03-23 15.00,286,109.5,176.5,,,
2021-03-23 16.00,286,108.75,177.25,,,
2021-03-23 17.00,152,107.25,44.75,,,
2021-03-23 18.00,0,107.25,-107.25,,,
2021-03-23 19.00,0,123.75,-123.75,,,
2021-03-23 20.00,0,117.75,-117.75,,,
2021-03-23 21.00,0,116.25,-116.25,,,
2021-03-23 22.00,0,115.5,-115.5,,,
2021-03-23 23.00,0,114,-114,,,
2021-03-24 00.00,0,111,-111,2473,2649,-176
2021-03-24 01.00,0,112.5,-112.5,,,
2021-03-24 02.00,0,111,-111,,,
2021-03-24 03.00,0,108.75,-108.75,,,
2021-03-24 04.00,0,104.25,-104.25,,,
2021-03-24 05.00,0,102,-102,,,
2021-03-24 06.00,0,94.5,-94.5,,,
2021-03-24 07.00,24,86.25,-62.25,,,
2021-03-24 08.00,89,91.5,-2.5,,,
2021-03-24 09.00,200,99.75,100.25,,,
2021-03-24 10.00,280,107.25,172.75,,,
2021-03-24 11.00,280,110.25,169.75,,,
2021-03-24 12.00,280,111,169,,,
2021-03-24 13.00,280,109.5,170.5,,,
2021-03-24 14.00,280,108,172,,,
2021-03-24 15.00,280,111.75,168.25,,,
2021-03-24 16.00,280,111,169,,,
2021-03-24 17.00,200,106.5,93.5,,,
2021-03-24 18.00,0,109.5,-109.5,,,
2021-03-24 19.00,0,132,-132,,,
2021-03-24 20.00,0,144.75,-144.75,,,
2021-03-24 21.00,0,124.5,-124.5,,,
2021-03-24 22.00,0,120.75,-120.75,,,
2021-03-24 23.00,0,120.75,-120.75,,,
2021-03-25 00.00,0,115.5,-115.5,2821,2574,247
2021-03-25 01.00,0,109.5,-109.5,,,
2021-03-25 02.00,0,106.5,-106.5,,,
2021-03-25 03.00,0,101.25,-101.25,,,
2021-03-25 04.00,0,96.75,-96.75,,,
2021-03-25 05.00,0,96,-96,,,
2021-03-25 06.00,0,93,-93,,,
2021-03-25 07.00,20,79.5,-59.5,,,
2021-03-25 08.00,60,90.75,-30.75,,,
2021-03-25 09.00,253,96.75,156.25,,,
2021-03-25 10.00,300,102,198,,,
2021-03-25 11.00,300,105,195,,,
2021-03-25 12.00,300,105.75,194.25,,,
2021-03-25 13.00,300,110.25,189.75,,,
2021-03-25 14.00,300,111.75,188.25,,,
2021-03-25 15.00,300,115.5,184.5,,,
2021-03-25 16.00,258,114.75,143.25,,,
2021-03-25 17.00,150,111,39,,,
2021-03-25 18.00,70,110.25,-40.25,,,
2021-03-25 19.00,70,127.5,-57.5,,,
2021-03-25 20.00,70,121.5,-51.5,,,
2021-03-25 21.00,70,121.5,-51.5,,,
2021-03-25 22.00,0,116.25,-116.25,,,
2021-03-25 23.00,0,115.5,-115.5,,,
2021-03-26 00.00,0,109.5,-109.5,2064,2559,-495
2021-03-26 01.00,0,105.75,-105.75,,,
2021-03-26 02.00,0,99.75,-99.75,,,
2021-03-26 03.00,0,97.5,-97.5,,,
2021-03-26 04.00,0,93.75,-93.75,,,
2021-03-26 05.00,0,95.25,-95.25,,,
2021-03-26 06.00,0,92.25,-92.25,,,
2021-03-26 07.00,20,79.5,-59.5,,,
2021-03-26 08.00,20,86.25,-66.25,,,
2021-03-26 09.00,20,96,-76,,,
2021-03-26 10.00,20,99,-79,,,
2021-03-26 11.00,20,102.75,-82.75,,,
2021-03-26 12.00,300,99.75,200.25,,,
2021-03-26 13.00,300,107.25,192.75,,,
2021-03-26 14.00,300,109.5,190.5,,,
2021-03-26 15.00,300,112.5,187.5,,,
2021-03-26 16.00,300,111,189,,,
2021-03-26 17.00,300,109.5,190.5,,,
2021-03-26 18.00,164,117,47,,,
2021-03-26 19.00,0,115.5,-115.5,,,
2021-03-26 20.00,0,120,-120,,,
2021-03-26 21.00,0,121.5,-121.5,,,
2021-03-26 22.00,0,136.5,-136.5,,,
2021-03-26 23.00,0,141.75,-141.75,,,
2021-03-27 00.00,0,129,-129,2795,2609.25,185.75
2021-03-27 01.00,0,96.75,-96.75,,,
2021-03-27 02.00,0,104.25,-104.25,,,
2021-03-27 03.00,0,99.75,-99.75,,,
2021-03-27 04.00,0,98.25,-98.25,,,
2021-03-27 05.00,0,96.75,-96.75,,,
2021-03-27 06.00,0,92.25,-92.25,,,
2021-03-27 07.00,0,80.25,-80.25,,,
2021-03-27 08.00,228,88.5,139.5,,,
2021-03-27 09.00,228,93.75,134.25,,,
2021-03-27 10.00,228,98.25,129.75,,,
2021-03-27 11.00,300,106.5,193.5,,,
2021-03-27 12.00,300,109.5,190.5,,,
2021-03-27 13.00,300,113.25,186.75,,,
2021-03-27 14.00,300,115.5,184.5,,,
2021-03-27 15.00,300,118.5,181.5,,,
2021-03-27 16.00,292,117.75,174.25,,,
2021-03-27 17.00,287,112.5,174.5,,,
2021-03-27 18.00,32,112.5,-80.5,,,
2021-03-27 19.00,0,131.25,-131.25,,,
2021-03-27 20.00,0,123.75,-123.75,,,
2021-03-27 21.00,0,124.5,-124.5,,,
2021-03-27 22.00,0,122.25,-122.25,,,
2021-03-27 23.00,0,123.75,-123.75,,,
2021-03-28 00.00,0,124.5,-124.5,2451,2790,-339
2021-03-28 01.00,0,99,-99,,,
2021-03-28 02.00,0,99,-99,,,
2021-03-28 03.00,0,109.5,-109.5,,,
2021-03-28 04.00,0,107.25,-107.25,,,
2021-03-28 05.00,0,101.25,-101.25,,,
2021-03-28 06.00,0,96,-96,,,
2021-03-28 07.00,0,86.25,-86.25,,,
2021-03-28 08.00,276,93.75,182.25,,,
2021-03-28 09.00,55,102,-47,,,
2021-03-28 10.00,280,108.75,171.25,,,
2021-03-28 11.00,280,115.5,164.5,,,
2021-03-28 12.00,280,117,163,,,
2021-03-28 13.00,280,124.5,155.5,,,
2021-03-28 14.00,280,126.75,153.25,,,
2021-03-28 15.00,280,131.25,148.75,,,
2021-03-28 16.00,280,127.5,152.5,,,
2021-03-28 17.00,160,123,37,,,
2021-03-28 18.00,0,122.25,-122.25,,,
2021-03-28 19.00,0,138.75,-138.75,,,
2021-03-28 20.00,0,134.25,-134.25,,,
2021-03-28 21.00,0,133.5,-133.5,,,
2021-03-28 22.00,0,134.25,-134.25,,,
2021-03-28 23.00,0,134.25,-134.25,,,
2021-03-29 00.00,0,130.5,-130.5,2620,3010.5,-390.5
2021-03-29 01.00,0,128.25,-128.25,,,
2021-03-29 02.00,0,126,-126,,,
2021-03-29 03.00,0,120.75,-120.75,,,
2021-03-29 04.00,0,115.5,-115.5,,,
2021-03-29 05.00,0,112.5,-112.5,,,
2021-03-29 06.00,0,104.25,-104.25,,,
2021-03-29 07.00,40,92.25,-52.25,,,
2021-03-29 08.00,200,104.25,95.75,,,
2021-03-29 09.00,300,112.5,187.5,,,
2021-03-29 10.00,300,122.25,177.75,,,
2021-03-29 11.00,300,128.25,171.75,,,
2021-03-29 12.00,300,128.25,171.75,,,
2021-03-29 13.00,300,135,165,,,
2021-03-29 14.00,300,138,162,,,
2021-03-29 15.00,300,141.75,158.25,,,
2021-03-29 16.00,160,137.25,22.75,,,
2021-03-29 17.00,120,132,-12,,,
2021-03-29 18.00,0,127.5,-127.5,,,
2021-03-29 19.00,0,144.75,-144.75,,,
2021-03-29 20.00,0,135.75,-135.75,,,
2021-03-29 21.00,0,132.75,-132.75,,,
2021-03-29 22.00,0,129.75,-129.75,,,
2021-03-29 23.00,0,130.5,-130.5,,,
2021-03-30 00.00,0,125.25,-125.25,2500,2935.5,-435.5
2021-03-30 01.00,0,126.75,-126.75,,,
2021-03-30 02.00,0,126,-126,,,
2021-03-30 03.00,0,122.25,-122.25,,,
2021-03-30 04.00,0,118.5,-118.5,,,
2021-03-30 05.00,0,117,-117,,,
2021-03-30 06.00,0,105.75,-105.75,,,
2021-03-30 07.00,20,94.5,-74.5,,,
2021-03-30 08.00,120,104.25,15.75,,,
2021-03-30 09.00,144,112.5,31.5,,,
2021-03-30 10.00,277,121.5,155.5,,,
2021-03-30 11.00,299,126,173,,,
2021-03-30 12.00,300,123.75,176.25,,,
2021-03-30 13.00,300,123.75,176.25,,,
2021-03-30 14.00,300,127.5,172.5,,,
2021-03-30 15.00,300,133.5,166.5,,,
2021-03-30 16.00,300,129.75,170.25,,,
2021-03-30 17.00,120,123,-3,,,
2021-03-30 18.00,20,122.25,-102.25,,,
2021-03-30 19.00,0,136.5,-136.5,,,
2021-03-30 20.00,0,130.5,-130.5,,,
2021-03-30 21.00,0,128.25,-128.25,,,
2021-03-30 22.00,0,128.25,-128.25,,,
2021-03-30 23.00,0,128.25,-128.25,,,
2021-03-31 00.00,0,127.5,-127.5,2905,3164.25,-259.25
2021-03-31 01.00,0,129,-129,,,
2021-03-31 02.00,0,132,-132,,,
2021-03-31 03.00,0,131.25,-131.25,,,
2021-03-31 04.00,0,128.25,-128.25,,,
2021-03-31 05.00,0,126,-126,,,
2021-03-31 06.00,0,114,-114,,,
2021-03-31 07.00,0,105,-105,,,
2021-03-31 08.00,160,114,46,,,
2021-03-31 09.00,300,126,174,,,
2021-03-31 10.00,300,135,165,,,
2021-03-31 11.00,300,136.5,163.5,,,
2021-03-31 12.00,300,137.25,162.75,,,
2021-03-31 13.00,300,134.25,165.75,,,
2021-03-31 14.00,300,134.25,165.75,,,
2021-03-31 15.00,300,133.5,166.5,,,
2021-03-31 16.00,300,131.25,168.75,,,
2021-03-31 17.00,265,131.25,133.75,,,
2021-03-31 18.00,80,138,-58,,,
2021-03-31 19.00,0,146.25,-146.25,,,
2021-03-31 20.00,0,144,-144,,,
2021-03-31 21.00,0,143.25,-143.25,,,
2021-03-31 22.00,0,143.25,-143.25,,,
2021-03-31 23.00,0,143.25,-143.25,,,
2021-04-01 00.00,0,140.25,-140.25,3100,3159,-59
2021-04-01 01.00,0,141,-141,,,
2021-04-01 02.00,0,138,-138,,,
2021-04-01 03.00,0,133.5,-133.5,,,
2021-04-01 04.00,0,129.75,-129.75,,,
2021-04-01 05.00,0,126.75,-126.75,,,
2021-04-01 06.00,0,116.25,-116.25,,,
2021-04-01 07.00,20,102.75,-82.75,,,
2021-04-01 08.00,260,111.75,148.25,,,
2021-04-01 09.00,320,119.25,200.75,,,
2021-04-01 10.00,320,126.75,193.25,,,
2021-04-01 11.00,320,130.5,189.5,,,
2021-04-01 12.00,320,132.75,187.25,,,
2021-04-01 13.00,320,135.75,184.25,,,
2021-04-01 14.00,320,136.5,183.5,,,
2021-04-01 15.00,300,138.75,161.25,,,
2021-04-01 16.00,300,132.75,167.25,,,
2021-04-01 17.00,300,128.25,171.75,,,
2021-04-01 18.00,0,130.5,-130.5,,,
2021-04-01 19.00,0,145.5,-145.5,,,
2021-04-01 20.00,0,142.5,-142.5,,,
2021-04-01 21.00,0,138.75,-138.75,,,
2021-04-01 22.00,0,139.5,-139.5,,,
2021-04-01 23.00,0,141,-141,,,
2021-04-02 00.00,0,141,-141,2855,3033,-178
2021-04-02 01.00,0,137.25,-137.25,,,
2021-04-02 02.00,0,135,-135,,,
2021-04-02 03.00,0,127.5,-127.5,,,
2021-04-02 04.00,0,120.75,-120.75,,,
2021-04-02 05.00,0,118.5,-118.5,,,
2021-04-02 06.00,0,111,-111,,,
2021-04-02 07.00,24,97.5,-73.5,,,
2021-04-02 08.00,280,105.75,174.25,,,
2021-04-02 09.00,280,112.5,167.5,,,
2021-04-02 10.00,291,120,171,,,
2021-04-02 11.00,320,123,197,,,
2021-04-02 12.00,320,123,197,,,
2021-04-02 13.00,320,127.5,192.5,,,
2021-04-02 14.00,310,133.5,176.5,,,
2021-04-02 15.00,310,135.75,174.25,,,
2021-04-02 16.00,310,129,181,,,
2021-04-02 17.00,90,123,-33,,,
2021-04-02 18.00,0,129,-129,,,
2021-04-02 19.00,0,141.75,-141.75,,,
2021-04-02 20.00,0,135,-135,,,
2021-04-02 21.00,0,135.75,-135.75,,,
2021-04-02 22.00,0,134.25,-134.25,,,
2021-04-02 23.00,0,135.75,-135.75,,,
2021-04-03 00.00,0,133.5,-133.5,3164,2997.75,166.25
2021-04-03 01.00,0,130.5,-130.5,,,
2021-04-03 02.00,0,129,-129,,,
2021-04-03 03.00,0,123.75,-123.75,,,
2021-04-03 04.00,0,119.25,-119.25,,,
2021-04-03 05.00,0,115.5,-115.5,,,
2021-04-03 06.00,0,104.25,-104.25,,,
2021-04-03 07.00,0,94.5,-94.5,,,
2021-04-03 08.00,164,103.5,60.5,,,
2021-04-03 09.00,300,112.5,187.5,,,
2021-04-03 10.00,300,120,180,,,
2021-04-03 11.00,300,123,177,,,
2021-04-03 12.00,300,123,177,,,
2021-04-03 13.00,300,130.5,169.5,,,
2021-04-03 14.00,300,135,165,,,
2021-04-03 15.00,300,138,162,,,
2021-04-03 16.00,300,132.75,167.25,,,
2021-04-03 17.00,300,126,174,,,
2021-04-03 18.00,300,126.75,173.25,,,
2021-04-03 19.00,0,139.5,-139.5,,,
2021-04-03 20.00,0,134.25,-134.25,,,
2021-04-03 21.00,0,134.25,-134.25,,,
2021-04-03 22.00,0,137.25,-137.25,,,
2021-04-03 23.00,0,131.25,-131.25,,,
2021-04-04 00.00,0,136.5,-136.5,3136,3090.75,45.25
2021-04-04 01.00,0,134.25,-134.25,,,
2021-04-04 02.00,0,130.5,-130.5,,,
2021-04-04 03.00,0,125.25,-125.25,,,
2021-04-04 04.00,0,119.25,-119.25,,,
2021-04-04 05.00,0,117,-117,,,
2021-04-04 06.00,0,106.5,-106.5,,,
2021-04-04 07.00,72,95.25,-23.25,,,
2021-04-04 08.00,216,105,111,,,
2021-04-04 09.00,244,114,130,,,
2021-04-04 10.00,300,121.5,178.5,,,
2021-04-04 11.00,300,127.5,172.5,,,
2021-04-04 12.00,300,129,171,,,
2021-04-04 13.00,300,134.25,165.75,,,
2021-04-04 14.00,300,140.25,159.75,,,
2021-04-04 15.00,300,144,156,,,
2021-04-04 16.00,300,138.75,161.25,,,
2021-04-04 17.00,300,130.5,169.5,,,
2021-04-04 18.00,144,131.25,12.75,,,
2021-04-04 19.00,3,144.75,-141.75,,,
2021-04-04 20.00,15,140.25,-125.25,,,
2021-04-04 21.00,16,140.25,-124.25,,,
2021-04-04 22.00,16,141.75,-125.75,,,
2021-04-04 23.00,10,143.25,-133.25,,,
2021-04-05 00.00,0,141.75,-141.75,3034,3188.25,-154.25
2021-04-05 01.00,0,139.5,-139.5,,,
2021-04-05 02.00,0,135,-135,,,
2021-04-05 03.00,0,129,-129,,,
2021-04-05 04.00,0,125.25,-125.25,,,
2021-04-05 05.00,0,122.25,-122.25,,,
2021-04-05 06.00,0,108,-108,,,
2021-04-05 07.00,94,99.75,-5.75,,,
2021-04-05 08.00,252,112.5,139.5,,,
2021-04-05 09.00,288,121.5,166.5,,,
2021-04-05 10.00,300,127.5,172.5,,,
2021-04-05 11.00,300,135,165,,,
2021-04-05 12.00,300,134.25,165.75,,,
2021-04-05 13.00,300,141,159,,,
2021-04-05 14.00,300,145.5,154.5,,,
2021-04-05 15.00,300,148.5,151.5,,,
2021-04-05 16.00,300,144,156,,,
2021-04-05 17.00,300,135.75,164.25,,,
2021-04-05 18.00,0,130.5,-130.5,,,
2021-04-05 19.00,0,151.5,-151.5,,,
2021-04-05 20.00,0,141,-141,,,
2021-04-05 21.00,0,141.75,-141.75,,,
2021-04-05 22.00,0,138.75,-138.75,,,
2021-04-05 23.00,0,138.75,-138.75,,,
2021-04-06 00.00,0,140.25,-140.25,2349,3151.5,-802.5
2021-04-06 01.00,0,140.25,-140.25,,,
2021-04-06 02.00,0,141.75,-141.75,,,
2021-04-06 03.00,0,138.75,-138.75,,,
2021-04-06 04.00,0,135,-135,,,
2021-04-06 05.00,0,131.25,-131.25,,,
2021-04-06 06.00,0,120,-120,,,
2021-04-06 07.00,28,111.75,-83.75,,,
2021-04-06 08.00,100,121.5,-21.5,,,
2021-04-06 09.00,100,125.25,-25.25,,,
2021-04-06 10.00,100,132.75,-32.75,,,
2021-04-06 11.00,285,136.5,148.5,,,
2021-04-06 12.00,285,132.75,152.25,,,
2021-04-06 13.00,285,134.25,150.75,,,
2021-04-06 14.00,285,137.25,147.75,,,
2021-04-06 15.00,285,141,144,,,
2021-04-06 16.00,285,129,156,,,
2021-04-06 17.00,200,117,83,,,
2021-04-06 18.00,111,117.75,-6.75,,,
2021-04-06 19.00,0,141.75,-141.75,,,
2021-04-06 20.00,0,136.5,-136.5,,,
2021-04-06 21.00,0,134.25,-134.25,,,
2021-04-06 22.00,0,128.25,-128.25,,,
2021-04-06 23.00,0,126.75,-126.75,,,
2021-04-07 00.00,0,127.5,-127.5,2390,3006.75,-616.75
2021-04-07 01.00,0,131.25,-131.25,,,
2021-04-07 02.00,0,132.75,-132.75,,,
2021-04-07 03.00,0,129,-129,,,
2021-04-07 04.00,0,126.75,-126.75,,,
2021-04-07 05.00,0,124.5,-124.5,,,
2021-04-07 06.00,0,112.5,-112.5,,,
2021-04-07 07.00,0,99.75,-99.75,,,
2021-04-07 08.00,90,105,-15,,,
2021-04-07 09.00,240,114.75,125.25,,,
2021-04-07 10.00,240,119.25,120.75,,,
2021-04-07 11.00,300,126.75,173.25,,,
2021-04-07 12.00,284,126.75,157.25,,,
2021-04-07 13.00,284,128.25,155.75,,,
2021-04-07 14.00,284,130.5,153.5,,,
2021-04-07 15.00,284,133.5,150.5,,,
2021-04-07 16.00,284,127.5,156.5,,,
2021-04-07 17.00,100,120,-20,,,
2021-04-07 18.00,0,120.75,-120.75,,,
2021-04-07 19.00,0,141.75,-141.75,,,
2021-04-07 20.00,0,136.5,-136.5,,,
2021-04-07 21.00,0,135.75,-135.75,,,
2021-04-07 22.00,0,129,-129,,,
2021-04-07 23.00,0,126.75,-126.75,,,
2021-04-08 00.00,0,129.75,-129.75,2824,3006.75,-182.75
2021-04-08 01.00,0,129.75,-129.75,,,
2021-04-08 02.00,0,129,-129,,,
2021-04-08 03.00,0,125.25,-125.25,,,
2021-04-08 04.00,0,120.75,-120.75,,,
2021-04-08 05.00,0,120.75,-120.75,,,
2021-04-08 06.00,0,108.75,-108.75,,,
2021-04-08 07.00,0,96.75,-96.75,,,
2021-04-08 08.00,190,108,82,,,
2021-04-08 09.00,209,117.75,91.25,,,
2021-04-08 10.00,300,126,174,,,
2021-04-08 11.00,300,131.25,168.75,,,
2021-04-08 12.00,300,129.75,170.25,,,
2021-04-08 13.00,300,137.25,162.75,,,
2021-04-08 14.00,300,143.25,156.75,,,
2021-04-08 15.00,300,141.75,158.25,,,
2021-04-08 16.00,300,133.5,166.5,,,
2021-04-08 17.00,285,112.5,172.5,,,
2021-04-08 18.00,40,113.25,-73.25,,,
2021-04-08 19.00,0,133.5,-133.5,,,
2021-04-08 20.00,0,129.75,-129.75,,,
2021-04-08 21.00,0,130.5,-130.5,,,
2021-04-08 22.00,0,129,-129,,,
2021-04-08 23.00,0,129,-129,,,
2021-04-09 00.00,0,127.5,-127.5,3175,2924.25,250.75
2021-04-09 01.00,0,126.75,-126.75,,,
2021-04-09 02.00,0,122.25,-122.25,,,
2021-04-09 03.00,0,117,-117,,,
2021-04-09 04.00,0,114,-114,,,
2021-04-09 05.00,0,112.5,-112.5,,,
2021-04-09 06.00,0,102,-102,,,
2021-04-09 07.00,0,92.25,-92.25,,,
2021-04-09 08.00,125,102,23,,,
2021-04-09 09.00,200,111,89,,,
2021-04-09 10.00,320,118.5,201.5,,,
2021-04-09 11.00,320,122.25,197.75,,,
2021-04-09 12.00,320,123.75,196.25,,,
2021-04-09 13.00,320,131.25,188.75,,,
2021-04-09 14.00,320,135,185,,,
2021-04-09 15.00,320,135.75,184.25,,,
2021-04-09 16.00,310,129,181,,,
2021-04-09 17.00,310,125.25,184.75,,,
2021-04-09 18.00,310,124.5,185.5,,,
2021-04-09 19.00,0,141,-141,,,
2021-04-09 20.00,0,131.25,-131.25,,,
2021-04-09 21.00,0,127.5,-127.5,,,
2021-04-09 22.00,0,126.75,-126.75,,,
2021-04-09 23.00,0,125.25,-125.25,,,
2021-04-10 00.00,0,125.25,-125.25,3141,2679.75,461.25
2021-04-10 01.00,0,123,-123,,,
2021-04-10 02.00,0,120.75,-120.75,,,
2021-04-10 03.00,0,117,-117,,,
2021-04-10 04.00,0,114,-114,,,
2021-04-10 05.00,0,114.75,-114.75,,,
2021-04-10 06.00,1,103.5,-102.5,,,
2021-04-10 07.00,1,93.75,-92.75,,,
2021-04-10 08.00,269,101.25,167.75,,,
2021-04-10 09.00,300,107.25,192.75,,,
2021-04-10 10.00,300,112.5,187.5,,,
2021-04-10 11.00,300,115.5,184.5,,,
2021-04-10 12.00,300,116.25,183.75,,,
2021-04-10 13.00,300,121.5,178.5,,,
2021-04-10 14.00,300,116.25,183.75,,,
2021-04-10 15.00,300,111.75,188.25,,,
2021-04-10 16.00,300,104.25,195.75,,,
2021-04-10 17.00,270,95.25,174.75,,,
2021-04-10 18.00,200,98.25,101.75,,,
2021-04-10 19.00,0,115.5,-115.5,,,
2021-04-10 20.00,0,114,-114,,,
2021-04-10 21.00,0,113.25,-113.25,,,
2021-04-10 22.00,0,112.5,-112.5,,,
2021-04-10 23.00,0,112.5,-112.5,,,
2021-04-11 00.00,0,110.25,-110.25,3037,2426.25,610.75
2021-04-11 01.00,0,106.5,-106.5,,,
2021-04-11 02.00,0,105,-105,,,
2021-04-11 03.00,0,102,-102,,,
2021-04-11 04.00,0,100.5,-100.5,,,
2021-04-11 05.00,0,99.75,-99.75,,,
2021-04-11 06.00,0,94.5,-94.5,,,
2021-04-11 07.00,52,83.25,-31.25,,,
2021-04-11 08.00,248,86.25,161.75,,,
2021-04-11 09.00,248,90.75,157.25,,,
2021-04-11 10.00,248,95.25,152.75,,,
2021-04-11 11.00,248,99.75,148.25,,,
2021-04-11 12.00,248,100.5,147.5,,,
2021-04-11 13.00,248,103.5,144.5,,,
2021-04-11 14.00,248,103.5,144.5,,,
2021-04-11 15.00,300,99.75,200.25,,,
2021-04-11 16.00,300,93,207,,,
2021-04-11 17.00,268,93,175,,,
2021-04-11 18.00,80,95.25,-15.25,,,
2021-04-11 19.00,80,114,-34,,,
2021-04-11 20.00,80,114,-34,,,
2021-04-11 21.00,80,115.5,-35.5,,,
2021-04-11 22.00,61,112.5,-51.5,,,
2021-04-11 23.00,0,108,-108,,,
2021-04-12 00.00,0,102,-102,2894,2438.25,455.75
2021-04-12 01.00,0,99.75,-99.75,,,
2021-04-12 02.00,0,96,-96,,,
2021-04-12 03.00,0,94.5,-94.5,,,
2021-04-12 04.00,0,93,-93,,,
2021-04-12 05.00,0,93.75,-93.75,,,
2021-04-12 06.00,0,87.75,-87.75,,,
2021-04-12 07.00,0,75.75,-75.75,,,
2021-04-12 08.00,256,83.25,172.75,,,
2021-04-12 09.00,256,87,169,,,
2021-04-12 10.00,256,93,163,,,
2021-04-12 11.00,256,99,157,,,
2021-04-12 12.00,270,102.75,167.25,,,
2021-04-12 13.00,300,105,195,,,
2021-04-12 14.00,300,105.75,194.25,,,
2021-04-12 15.00,300,108.75,191.25,,,
2021-04-12 16.00,300,109.5,190.5,,,
2021-04-12 17.00,256,108,148,,,
2021-04-12 18.00,128,109.5,18.5,,,
2021-04-12 19.00,0,125.25,-125.25,,,
2021-04-12 20.00,0,117.75,-117.75,,,
2021-04-12 21.00,0,116.25,-116.25,,,
2021-04-12 22.00,0,114,-114,,,
2021-04-12 23.00,16,111,-95,,,
2021-04-13 00.00,0,108.75,-108.75,3486,2464.5,1021.5
2021-04-13 01.00,0,105.75,-105.75,,,
2021-04-13 02.00,0,104.25,-104.25,,,
2021-04-13 03.00,0,102.75,-102.75,,,
2021-04-13 04.00,0,100.5,-100.5,,,
2021-04-13 05.00,0,99.75,-99.75,,,
2021-04-13 06.00,0,88.5,-88.5,,,
2021-04-13 07.00,100,81.75,18.25,,,
2021-04-13 08.00,300,87,213,,,
2021-04-13 09.00,300,93,207,,,
2021-04-13 10.00,291,98.25,192.75,,,
2021-04-13 11.00,107,103.5,3.5,,,
2021-04-13 12.00,300,110.25,189.75,,,
2021-04-13 13.00,300,108.75,191.25,,,
2021-04-13 14.00,300,105,195,,,
2021-04-13 15.00,300,102.75,197.25,,,
2021-04-13 16.00,300,102.75,197.25,,,
2021-04-13 17.00,300,97.5,202.5,,,
2021-04-13 18.00,196,93,103,,,
2021-04-13 19.00,196,117.75,78.25,,,
2021-04-13 20.00,196,113.25,82.75,,,
2021-04-13 21.00,0,114,-114,,,
2021-04-13 22.00,0,114,-114,,,
2021-04-13 23.00,0,111.75,-111.75,,,
2021-04-14 00.00,0,109.5,-109.5,3296,2661.75,634.25
2021-04-14 01.00,0,108.75,-108.75,,,
2021-04-14 02.00,0,108,-108,,,
2021-04-14 03.00,0,106.5,-106.5,,,
2021-04-14 04.00,0,104.25,-104.25,,,
2021-04-14 05.00,0,102.75,-102.75,,,
2021-04-14 06.00,8,86.25,-78.25,,,
2021-04-14 07.00,125,82.5,42.5,,,
2021-04-14 08.00,270,92.25,177.75,,,
2021-04-14 09.00,300,100.5,199.5,,,
2021-04-14 10.00,300,110.25,189.75,,,
2021-04-14 11.00,300,113.25,186.75,,,
2021-04-14 12.00,300,112.5,187.5,,,
2021-04-14 13.00,300,114,186,,,
2021-04-14 14.00,300,114,186,,,
2021-04-14 15.00,300,116.25,183.75,,,
2021-04-14 16.00,300,114.75,185.25,,,
2021-04-14 17.00,240,111.75,128.25,,,
2021-04-14 18.00,240,111,129,,,
2021-04-14 19.00,7,132,-125,,,
2021-04-14 20.00,6,126.75,-120.75,,,
2021-04-14 21.00,0,127.5,-127.5,,,
2021-04-14 22.00,0,128.25,-128.25,,,
2021-04-14 23.00,0,128.25,-128.25,,,
2021-04-15 00.00,0,126.75,-126.75,3097,2985,112
2021-04-15 01.00,0,126,-126,,,
2021-04-15 02.00,0,122.25,-122.25,,,
2021-04-15 03.00,0,117.75,-117.75,,,
2021-04-15 04.00,0,112.5,-112.5,,,
2021-04-15 05.00,0,111,-111,,,
2021-04-15 06.00,1,98.25,-97.25,,,
2021-04-15 07.00,100,92.25,7.75,,,
2021-04-15 08.00,300,106.5,193.5,,,
2021-04-15 09.00,300,115.5,184.5,,,
2021-04-15 10.00,300,121.5,178.5,,,
2021-04-15 11.00,300,126.75,173.25,,,
2021-04-15 12.00,300,126,174,,,
2021-04-15 13.00,300,130.5,169.5,,,
2021-04-15 14.00,300,134.25,165.75,,,
2021-04-15 15.00,300,138,162,,,
2021-04-15 16.00,300,132.75,167.25,,,
2021-04-15 17.00,236,126.75,109.25,,,
2021-04-15 18.00,60,123,-63,,,
2021-04-15 19.00,0,142.5,-142.5,,,
2021-04-15 20.00,0,138,-138,,,
2021-04-15 21.00,0,138,-138,,,
2021-04-15 22.00,0,138.75,-138.75,,,
2021-04-15 23.00,0,139.5,-139.5,,,
2021-04-16 00.00,0,139.5,-139.5,2850,3086.25,-236.25
2021-04-16 01.00,0,132.75,-132.75,,,
